2025-12-21 10:15:06,564 INFO: Encoding: task 1 of 1, 88.86 % (387.28 fps, avg 382.32 fps, ETA 00h00m22s)
2025-12-21 10:15:06,765 INFO: Encoding: task 1 of 1, 88.97 % (387.28 fps, avg 382.32 fps, ETA 00h00m22s)
2025-12-21 10:15:06,965 INFO: Encoding: task 1 of 1, 89.08 % (387.28 fps, avg 382.32 fps, ETA 00h00m22s)
2025-12-21 10:15:07,165 INFO: Encoding: task 1 of 1, 89.17 % (387.28 fps, avg 382.32 fps, ETA 00h00m22s)
2025-12-21 10:15:07,366 INFO: Encoding: task 1 of 1, 89.26 % (388.67 fps, avg 382.35 fps, ETA 00h00m21s)
2025-12-21 10:15:07,568 INFO: Encoding: task 1 of 1, 89.37 % (388.67 fps, avg 382.35 fps, ETA 00h00m21s)
2025-12-21 10:15:07,766 INFO: Encoding: task 1 of 1, 89.48 % (388.67 fps, avg 382.35 fps, ETA 00h00m21s)
2025-12-21 10:15:07,966 INFO: Encoding: task 1 of 1, 89.56 % (388.67 fps, avg 382.35 fps, ETA 00h00m21s)
2025-12-21 10:15:08,166 INFO: Encoding: task 1 of 1, 89.67 % (388.67 fps, avg 382.35 fps, ETA 00h00m21s)
2025-12-21 10:15:08,366 INFO: Encoding: task 1 of 1, 89.77 % (387.35 fps, avg 382.37 fps, ETA 00h00m20s)
2025-12-21 10:15:08,566 INFO: Encoding: task 1 of 1, 89.87 % (387.35 fps, avg 382.37 fps, ETA 00h00m20s)
2025-12-21 10:15:08,767 INFO: Encoding: task 1 of 1, 89.97 % (387.35 fps, avg 382.37 fps, ETA 00h00m20s)
2025-12-21 10:15:08,967 INFO: Encoding: task 1 of 1, 90.06 % (387.35 fps, avg 382.37 fps, ETA 00h00m20s)
2025-12-21 10:15:09,167 INFO: Encoding: task 1 of 1, 90.18 % (387.35 fps, avg 382.37 fps, ETA 00h00m20s)
2025-12-21 10:15:09,367 INFO: Encoding: task 1 of 1, 90.28 % (387.80 fps, avg 382.41 fps, ETA 00h00m19s)
2025-12-21 10:15:09,568 INFO: Encoding: task 1 of 1, 90.37 % (387.80 fps, avg 382.41 fps, ETA 00h00m19s)
2025-12-21 10:15:09,768 INFO: Encoding: task 1 of 1, 90.47 % (387.80 fps, avg 382.41 fps, ETA 00h00m19s)
2025-12-21 10:15:09,968 INFO: Encoding: task 1 of 1, 90.56 % (387.80 fps, avg 382.41 fps, ETA 00h00m19s)
2025-12-21 10:15:10,168 INFO: Encoding: task 1 of 1, 90.65 % (387.80 fps, avg 382.41 fps, ETA 00h00m19s)
2025-12-21 10:15:10,368 INFO: Encoding: task 1 of 1, 90.76 % (385.17 fps, avg 382.40 fps, ETA 00h00m18s)
2025-12-21 10:15:10,568 INFO: Encoding: task 1 of 1, 90.85 % (385.17 fps, avg 382.40 fps, ETA 00h00m18s)
2025-12-21 10:15:10,768 INFO: Encoding: task 1 of 1, 90.97 % (385.17 fps, avg 382.40 fps, ETA 00h00m18s)
2025-12-21 10:15:10,969 INFO: Encoding: task 1 of 1, 91.06 % (385.17 fps, avg 382.40 fps, ETA 00h00m18s)
2025-12-21 10:15:11,169 INFO: Encoding: task 1 of 1, 91.16 % (385.17 fps, avg 382.40 fps, ETA 00h00m18s)
2025-12-21 10:15:11,369 INFO: Encoding: task 1 of 1, 91.27 % (386.54 fps, avg 382.44 fps, ETA 00h00m17s)
2025-12-21 10:15:11,570 INFO: Encoding: task 1 of 1, 91.36 % (386.54 fps, avg 382.44 fps, ETA 00h00m17s)
2025-12-21 10:15:11,769 INFO: Encoding: task 1 of 1, 91.46 % (386.54 fps, avg 382.44 fps, ETA 00h00m17s)
2025-12-21 10:15:11,970 INFO: Encoding: task 1 of 1, 91.56 % (386.54 fps, avg 382.44 fps, ETA 00h00m17s)
2025-12-21 10:15:12,170 INFO: Encoding: task 1 of 1, 91.67 % (386.54 fps, avg 382.44 fps, ETA 00h00m17s)
2025-12-21 10:15:12,371 INFO: Encoding: task 1 of 1, 91.76 % (386.54 fps, avg 382.44 fps, ETA 00h00m17s)
2025-12-21 10:15:12,571 INFO: Encoding: task 1 of 1, 91.87 % (385.71 fps, avg 382.47 fps, ETA 00h00m16s)
2025-12-21 10:15:12,772 INFO: Encoding: task 1 of 1, 91.97 % (385.71 fps, avg 382.47 fps, ETA 00h00m16s)
2025-12-21 10:15:12,972 INFO: Encoding: task 1 of 1, 92.06 % (385.71 fps, avg 382.47 fps, ETA 00h00m16s)
2025-12-21 10:15:13,172 INFO: Encoding: task 1 of 1, 92.16 % (385.71 fps, avg 382.47 fps, ETA 00h00m16s)
2025-12-21 10:15:13,372 INFO: Encoding: task 1 of 1, 92.25 % (385.71 fps, avg 382.47 fps, ETA 00h00m16s)
2025-12-21 10:15:13,572 INFO: Encoding: task 1 of 1, 92.37 % (386.97 fps, avg 382.47 fps, ETA 00h00m15s)
2025-12-21 10:15:13,772 INFO: Encoding: task 1 of 1, 92.46 % (386.97 fps, avg 382.47 fps, ETA 00h00m15s)
2025-12-21 10:15:13,973 INFO: Encoding: task 1 of 1, 92.56 % (386.97 fps, avg 382.47 fps, ETA 00h00m15s)
2025-12-21 10:15:14,173 INFO: Encoding: task 1 of 1, 92.66 % (386.97 fps, avg 382.47 fps, ETA 00h00m15s)
2025-12-21 10:15:14,374 INFO: Encoding: task 1 of 1, 92.75 % (386.97 fps, avg 382.47 fps, ETA 00h00m15s)
2025-12-21 10:15:14,574 INFO: Encoding: task 1 of 1, 92.85 % (383.88 fps, avg 382.46 fps, ETA 00h00m14s)
2025-12-21 10:15:14,774 INFO: Encoding: task 1 of 1, 92.96 % (383.88 fps, avg 382.46 fps, ETA 00h00m14s)
2025-12-21 10:15:14,974 INFO: Encoding: task 1 of 1, 93.05 % (383.88 fps, avg 382.46 fps, ETA 00h00m14s)
2025-12-21 10:15:15,175 INFO: Encoding: task 1 of 1, 93.16 % (383.88 fps, avg 382.46 fps, ETA 00h00m14s)
2025-12-21 10:15:15,376 INFO: Encoding: task 1 of 1, 93.26 % (383.88 fps, avg 382.46 fps, ETA 00h00m14s)
2025-12-21 10:15:15,575 INFO: Encoding: task 1 of 1, 93.35 % (384.29 fps, avg 382.50 fps, ETA 00h00m13s)
